Question,Answer,Category
மூன்று கண்கள் கொண்டவன் யார்?,,cultural
ஆனைத் தலை மனித உடல் யார்?,,cultural
ஆறு முகங்கள் உடையவன் யார்?,,cultural
மயிலில் சவாரி செய்பவன் யார்?,,cultural
பாம்பை அணிந்தவன் யார்?,,cultural
கருடன் வாகனம் யாருக்கு?,,cultural
சங்கு சக்கரம் வைத்திருப்பவர் யார்?,,cultural
மாடுகளை மேய்க்கும் கடவுள் யார்?,,cultural
வேல் வைத்திருப்பவன் யார்?,,cultural
பாம்பு மேல் படுக்கும் கடவுள் யார்?,,cultural
பொங்கல் நாளில் கொதிக்கும் உணவு என்ன?,,cultural
தமிழர் திருநாள் என்ன?,,cultural
மாடுகளுக்கான திருவிழா என்ன?,,cultural
கோலங்கள் போடும் திருநாள் என்ன?,,cultural
விளக்கு ஏற்றும் திருவிழா என்ன?,,cultural
ஒளி திருவிழா என்ன?,,cultural
அம்மன் வழிபாடு அதிகம் செய்யும் மாதம்?,,cultural
முருகன் வழிபாடு அதிகம் செய்யும் மாதம்?,,cultural
விளக்கு திருவிழா எந்த மாதம்?,,cultural
சூரியனை வழிபடும் திருநாள்?,,cultural
தமிழ் புத்தாண்டு எந்த மாதம்?,,cultural
ஆடி பிறக்கும் மாதம்?,,cultural
மார்கழி மாதம் எதற்கு பிரசித்தம்?,,cultural
வைகாசி மாதத்தில் என்ன விழா?,,cultural
தை மாதம் என்ன தொடக்கம்?,,cultural
மாசி மாதம் எந்த திருவிழா?,,cultural
பங்குனி மாதம் என்ன விழா?,,cultural
ஆவணி மாதம் என்ன முக்கியம்?,,cultural
கார்த்திகை மாதம் என்ன சிறப்பு?,,cultural
மார்கழி காலையில் என்ன செய்கிறார்கள்?,,cultural
கோவில் முன் என்ன போடுவார்கள்?,,cultural
விளக்கு ஏற்றுவது எதற்காக?,,cultural
கோவிலில் மணி அடிப்பது ஏன்?,,cultural
பூஜையில் என்ன தருகிறார்கள்?,,cultural
கோவில் சுற்றுவது என்ன?,,cultural
அர்ச்சகர் என்ன செய்கிறார்?,,cultural
அம்மன் கோவில் என்ன தரும்?,,cultural
கோவில் கும்பிடுவது என்ன?,,cultural
கோவில் கொடி என்ன?,,cultural
தேர் இழுக்கும் திருவிழா என்ன?,,cultural
பொங்கல் பானையில் முதலில் பொங்குவது என்ன?,அரிசி,cultural
கோயிலில் காலை முதல் ஒலி எது?,மணி,cultural
விழாவில் வீட்டு வாசலில் வருவது என்ன?,கோலம்,cultural
முருகனின் கையில் இருப்பது என்ன?,வேல்,cultural
பொங்கலில் கரும்பு ஏன் வைப்பார்கள்?,இனிப்பு,cultural
திருவிழாவில் ஏற்றுவது என்ன?,தீபம்,cultural
ஆடி மாதத்தில் பெண்கள் செய்வது என்ன?,கோலம்,cultural
கோயிலில் சுற்றி வருவது என்ன?,பிரதட்சிணை,cultural
விநாயகருக்கு பிடித்தது என்ன?,கொழுக்கட்டை,cultural
மஞ்சள் நிறம் குறிக்கும் விஷயம் என்ன?,மங்களம்,cultural
தீபாவளியில் வெடிப்பது என்ன?,பட்டாசு,cultural
கோயிலில் சாமி பார்க்கும் முன் செய்வது என்ன?,நமஸ்காரம்,cultural
நவராத்திரியில் வைக்கும் பொருள் என்ன?,கொலு,cultural
பூஜையில் முதலில் வைக்கும் இலை என்ன?,வாழைஇலை,cultural
திருவிழாவில் ஒலிக்கும் கருவி என்ன?,நாதஸ்வரம்,cultural
மதுரையில் புகழ்பெற்ற கோயில் எது?,மீனாட்சி,cultural
கோயிலில் தரப்படும் உணவு என்ன?,பிரசாதம்,cultural
கும்பாபிஷேகத்தில் ஊற்றுவது என்ன?,தண்ணீர்,cultural
விழாவில் ஆடும் நடனம் என்ன?,பரதநாட்டியம்,cultural
பொங்கல் நாள் என்ன நாள்?,திருநாள்,cultural
ஆடி அமாவாசையில் செய்வது என்ன?,தர்ப்பணம்,cultural
கோயிலில் இருக்கும் கொடி என்ன?,கொடிமரம்,cultural
