Question,Answer,Category,Language
ഭക്ഷണം കൊടുത്താൽ ജീവിക്കും വെള്ളം കൊടുത്താൽ മരിക്കും,തീ,Logic,Malayalam
നമുക്ക് കാണാം പക്ഷേ പിടിക്കാൻ പറ്റില്ല,നിഴൽ,Logic,Malayalam
മുന്നോട്ട് പോകുമ്പോൾ പിന്നിൽ അടയാളങ്ങൾ ഉപേക്ഷിക്കും,കാൽപ്പാടുകൾ,Logic,Malayalam
വരയ്ക്കും തോറും കുറഞ്ഞു പോകുന്ന സാധനം,പെൻസിൽ,Logic,Malayalam
പല്ലുണ്ട് പക്ഷേ കടിക്കില്ല,ചീപ്പ്,Logic,Malayalam
കഴുത്തുണ്ട് പക്ഷേ തലയില്ല,കുപ്പി,Logic,Malayalam
തുവർത്തും തോറും നനയുന്ന സാധനം,തൂവാല,Logic,Malayalam
കൈയുണ്ട് പക്ഷേ പിടിക്കില്ല,ഷർട്ട്,Logic,Malayalam
വായുണ്ട് പക്ഷേ സംസാരിക്കില്ല,പുഴ,Logic,Malayalam
എപ്പോഴും വരും പക്ഷേ ഒരിക്കലും എത്തില്ല,നാളെ,Logic,Malayalam
ചുട്ടാൽ കരിക്കില്ല കുളിച്ചാൽ നനയില്ല,നിഴൽ,Logic,Malayalam
എത്ര നടന്നാലും തേയാത്ത ചെരിപ്പ്,കാൽവെള്ള,Logic,Malayalam
കെട്ടിയിട്ടാൽ ഓടും അഴിച്ചുവിട്ടാൽ നിൽക്കും,ചെരിപ്പ്,Logic,Malayalam
ഉയരത്തിൽ നിന്ന് വീണാലും പൊട്ടില്ല പക്ഷേ വെള്ളത്തിലിട്ടാൽ പൊട്ടും,കടലാസ്,Logic,Malayalam
വെള്ളത്തിനടിയിൽ കൂടുണ്ടാക്കുന്നവൻ,മുങ്ങൽ വിദഗ്ധൻ,Logic,Malayalam
നടുവിൽ വയറുള്ളവൻ,മൺകുടം,Logic,Malayalam
തൂങ്ങിക്കിടക്കും പക്ഷേ വീഴില്ല,ചക്ക,Logic,Malayalam
തലകീഴായി നിൽക്കുന്ന മരം,വേരുകൾ,Logic,Malayalam
കണ്ണുണ്ട് പക്ഷേ കാണില്ല,സൂചി,Logic,Malayalam
അടിച്ചാൽ പൊട്ടില്ല മുറിച്ചാൽ മുറിയില്ല,വെള്ളം,Logic,Malayalam
തറയിലിട്ടാൽ പൊട്ടില്ല വെള്ളത്തിലിട്ടാൽ പൊട്ടും,പേപ്പർ,Logic,Malayalam
പകുതി തിന്നാൽ ബാക്കി കളയുന്ന പഴം,മാങ്ങയണ്ടി,Logic,Malayalam
നനയുന്തോറും ഉണങ്ങുന്ന സാധനം,കുട,Logic,Malayalam
തന്നാൽ എടുക്കില്ല എടുത്താൽ തരില്ല,അടി,Logic,Malayalam
മുകളിലേക്ക് പോകും പക്ഷേ താഴേക്ക് വരില്ല,പ്രായം,Logic,Malayalam
പിടിക്കാൻ പറ്റും പക്ഷേ എറിയാൻ പറ്റില്ല,ജലദോഷം,Logic,Malayalam
മുറിക്കും തോറും നീളം കൂടുന്ന സാധനം,കുഴി,Logic,Malayalam
വെള്ളമില്ലാത്ത കടലും മരങ്ങളില്ലാത്ത കാടുമുള്ള സ്ഥലം,മാപ്പ്,Logic,Malayalam
എല്ലില്ലാത്തവൻ പക്ഷേ കടിക്കും,ഉറുമ്പ്,Logic,Malayalam
ചിറകില്ലാതെ പറക്കും കണ്ണില്ലാതെ കരയും,മേഘം,Logic,Malayalam
ചക്രമില്ലാതെ ഓടും ചിറകില്ലാതെ പറക്കും,കാറ്റ്,Logic,Malayalam
കറുത്ത വീട്ടിൽ ചുവന്ന താമസക്കാർ,വായയും നാക്കും,Logic,Malayalam
എത്ര വലിയവനും എന്റെ മുന്നിൽ തല കുനിക്കും,ബാർബർ,Logic,Malayalam
വായുണ്ട് പക്ഷേ ഭക്ഷിക്കില്ല,ബാഗ്,Logic,Malayalam
കാലില്ലാതെ നടക്കും കൈയില്ലാതെ അടിക്കും,ഘടികാരം,Logic,Malayalam
വെള്ളം കുടിക്കില്ല പക്ഷേ എപ്പോഴും വെള്ളത്തിലാണ്,മീൻ,Logic,Malayalam
മുകളിലേക്ക് നോക്കി കിടക്കുന്ന പാത്രം,കിണർ,Logic,Malayalam
ഇരുട്ടത്ത് മാത്രം കാണുന്ന സാധനം,സ്വപ്നം,Logic,Malayalam
എപ്പോഴും കൂടെയുണ്ട് പക്ഷേ തൊടാൻ പറ്റില്ല,നിഴൽ,Logic,Malayalam
കൈയില്ലാതെ പിടിക്കും കാലില്ലാതെ ഓടും,ക്യാമറ,Logic,Malayalam
എത്ര പിടിച്ചാലും കയ്യിൽ നിൽക്കാത്ത സാധനം,വെള്ളം,Logic,Malayalam
പൊങ്ങിക്കിടക്കും പക്ഷേ പറക്കില്ല,തോണി,Logic,Malayalam
കറങ്ങിക്കൊണ്ടിരിക്കും പക്ഷേ ഒരിടത്തും എത്തില്ല,ഫാൻ,Logic,Malayalam
തറയിൽ തട്ടിയാൽ ഉയരത്തിൽ ചാടും,പന്ത്,Logic,Malayalam
ഇരുട്ടത്ത് വഴികാട്ടും പക്ഷേ വെളിച്ചത്ത് കാണില്ല,മെഴുകുതിരി,Logic,Malayalam
വായ തുറന്നാൽ പല്ല് കാണാം,ചക്ക,Logic,Malayalam
തല വെട്ടിയാൽ ഉയരം കുറയും,പെൻസിൽ,Logic,Malayalam
നനഞ്ഞാൽ ഭാരം കൂടും,തുണി,Logic,Malayalam
ഉള്ളിൽ കല്ലുള്ള പഴം,ഈന്തപ്പഴം,Logic,Malayalam
എപ്പോഴും നമ്മുടെ മുന്നിലുണ്ട് പക്ഷേ കാണാൻ പറ്റില്ല,ഭാവി,Logic,Malayalam
കാണാൻ പറ്റില്ല പക്ഷേ കേൾക്കാൻ പറ്റും,ശബ്ദം,Logic,Malayalam
ഒരിക്കൽ പോയാൽ തിരിച്ചു വരില്ല,സമയം,Logic,Malayalam
വലുതാകുന്തോറും ഭാരം കുറയുന്ന സാധനം,ബലൂൺ,Logic,Malayalam
വെള്ളത്തിൽ ഇട്ടാൽ അലിഞ്ഞു പോകും,പഞ്ചസാര,Logic,Malayalam
മുറിച്ചാൽ ചോര വരാത്ത സാധനം,മുടി,Logic,Malayalam
എല്ലില്ലാത്ത നാക്ക്,വാക്ക്,Logic,Malayalam
കണ്ണടച്ചാൽ മാത്രം കാണുന്നത്,ഇരുട്ട്,Logic,Malayalam
പൂക്കില്ല കായ്ക്കില്ല പക്ഷേ ഇലയുണ്ട്,പുസ്തകം,Logic,Malayalam
എല്ലാവർക്കും ഉണ്ട് പക്ഷേ ആരും കാണുന്നില്ല,മനസ്സ്,Logic,Malayalam
വെളിച്ചം വന്നാൽ ഇല്ലാതാകുന്നവൻ,ഇരുട്ട്,Logic,Malayalam
എത്ര നടന്നാലും തീരാത്ത പായ,റോഡ്,Logic,Malayalam
ചക്രങ്ങളില്ലാതെ ഓടും ചിറകുകളില്ലാതെ പറക്കും,കാറ്റ്,Logic,Malayalam
കെട്ടിയിട്ടാൽ ഓടും അഴിച്ചുവിട്ടാൽ നിൽക്കും,ചെരിപ്പ്,Logic,Malayalam
മുറിക്കുന്തോറും നീളം കൂടുന്ന സാധനം,കുഴി,Logic,Malayalam
മുകളിലേക്ക് പോകും പക്ഷേ ഒരിക്കലും താഴേക്ക് വരില്ല,പ്രായം,Logic,Malayalam
വരയ്ക്കുന്തോറും കുറഞ്ഞുവരുന്ന സാധനം,പെൻസിൽ,Logic,Malayalam
നമുക്ക് കാണാം പക്ഷേ തൊടാൻ കഴിയില്ല,നിഴൽ,Logic,Malayalam
പല്ലുണ്ട് പക്ഷേ കടിക്കില്ല,ചീപ്പ്,Logic,Malayalam
കഴുത്തുണ്ട് പക്ഷേ തലയില്ല,കുപ്പി,Logic,Malayalam
വായുണ്ട് പക്ഷേ സംസാരിക്കില്ല,പുഴ,Logic,Malayalam
തുവർത്തുന്തോറും നനയുന്ന സാധനം,തൂവാല,Logic,Malayalam
കൈയുണ്ട് പക്ഷേ പിടിക്കില്ല,ഷർട്ട്,Logic,Malayalam
എപ്പോഴും വരും പക്ഷേ ഒരിക്കലും എത്തില്ല,നാളെ,Logic,Malayalam
ചുട്ടാൽ കരിക്കില്ല കുളിച്ചാൽ നനയില്ല,നിഴൽ,Logic,Malayalam
എത്ര നടന്നാലും തേയാത്ത ചെരിപ്പ്,കാൽവെള്ള,Logic,Malayalam
ഉയരത്തിൽ നിന്ന് വീണാലും പൊട്ടില്ല പക്ഷേ വെള്ളത്തിലിട്ടാൽ പൊട്ടും,കടലാസ്,Logic,Malayalam
വെള്ളത്തിനടിയിൽ കൂടുണ്ടാക്കുന്നവൻ,മുങ്ങൽ വിദഗ്ധൻ,Logic,Malayalam
നടുവിൽ വയറുള്ളവൻ,മൺകുടം,Logic,Malayalam
തൂങ്ങിക്കിടക്കും പക്ഷേ വീഴില്ല,ചക്ക,Logic,Malayalam
കണ്ണുണ്ട് പക്ഷേ കാണില്ല,സൂചി,Logic,Malayalam
അടിച്ചാൽ പൊട്ടില്ല മുറിച്ചാൽ മുറിയില്ല,വെള്ളം,Logic,Malayalam
പകുതി തിന്നാൽ ബാക്കി കളയുന്ന പഴം,മാങ്ങയണ്ടി,Logic,Malayalam
നനയുന്തോറും ഉണങ്ങുന്ന സാധനം,കുട,Logic,Malayalam
തന്നാൽ എടുക്കില്ല എടുത്താൽ തരില്ല,അടി,Logic,Malayalam
പിടിക്കാൻ പറ്റും പക്ഷേ എറിയാൻ പറ്റില്ല,ജലദോഷം,Logic,Malayalam
വെള്ളമില്ലാത്ത കടലും മരങ്ങളില്ലാത്ത കാടുമുള്ള സ്ഥലം,മാപ്പ്,Logic,Malayalam
എല്ലില്ലാത്തവൻ പക്ഷേ കടിക്കും,ഉറുമ്പ്,Logic,Malayalam
ചിറകില്ലാതെ പറക്കും കണ്ണില്ലാതെ കരയും,മേഘം,Logic,Malayalam
കറുത്ത വീട്ടിൽ ചുവന്ന താമസക്കാർ,വായയും നാക്കും,Logic,Malayalam
എത്ര വലിയവനും എന്റെ മുന്നിൽ തല കുനിക്കും,ബാർബർ,Logic,Malayalam
വായുണ്ട് പക്ഷേ ഭക്ഷിക്കില്ല,ബാഗ്,Logic,Malayalam
കാലില്ലാതെ നടക്കും കൈയില്ലാതെ അടിക്കും,ഘടികാരം,Logic,Malayalam
വെള്ളം കുടിക്കില്ല പക്ഷേ എപ്പോഴും വെള്ളത്തിലാണ്,മീൻ,Logic,Malayalam
മുകളിലേക്ക് നോക്കി കിടക്കുന്ന പാത്രം,കിണർ,Logic,Malayalam
ഇരുട്ടത്ത് മാത്രം കാണുന്ന സാധനം,സ്വപ്നം,Logic,Malayalam
എപ്പോഴും കൂടെയുണ്ട് പക്ഷേ തൊടാൻ പറ്റില്ല,നിഴൽ,Logic,Malayalam
കൈയില്ലാതെ പിടിക്കും കാലില്ലാതെ ഓടും,ക്യാമറ,Logic,Malayalam
എത്ര പിടിച്ചാലും കയ്യിൽ നിൽക്കാത്ത സാധനം,വെള്ളം,Logic,Malayalam
പൊങ്ങിക്കിടക്കും പക്ഷേ പറക്കില്ല,തോണി,Logic,Malayalam
കറങ്ങിക്കൊണ്ടിരിക്കും പക്ഷേ ഒരിടത്തും എത്തില്ല,ഫാൻ,Logic,Malayalam
തറയിൽ തട്ടിയാൽ ഉയരത്തിൽ ചാടും,പന്ത്,Logic,Malayalam
ഇരുട്ടത്ത് വഴികാട്ടും പക്ഷേ വെളിച്ചത്ത് കാണില്ല,മെഴുകുതിരി,Logic,Malayalam
വായ തുറന്നാൽ പല്ല് കാണാം,ചക്ക,Logic,Malayalam
തല വെട്ടിയാൽ ഉയരം കുറയും,പെൻസിൽ,Logic,Malayalam
നനഞ്ഞാൽ ഭാരം കൂടും,തുണി,Logic,Malayalam
ഉള്ളിൽ കല്ലുള്ള പഴം,ഈന്തപ്പഴം,Logic,Malayalam
എപ്പോഴും നമ്മുടെ മുന്നിലുണ്ട് പക്ഷേ കാണാൻ പറ്റില്ല,ഭാവി,Logic,Malayalam
കാണാൻ പറ്റില്ല പക്ഷേ കേൾക്കാൻ പറ്റും,ശബ്ദം,Logic,Malayalam
ഒരിക്കൽ പോയാൽ തിരിച്ചു വരില്ല,സമയമ,Logic,Malayalam
വലുതാകുന്തോറും ഭാരം കുറയുന്ന സാധനം,ബലൂൺ,Logic,Malayalam
വെള്ളത്തിൽ ഇട്ടാൽ അലിഞ്ഞു പോകും,പഞ്ചസാര,Logic,Malayalam
മുറിച്ചാൽ ചോര വരാത്ത സാധനം,മുടി,Logic,Malayalam
എല്ലില്ലാത്ത നാക്ക്,വാക്ക്,Logic,Malayalam
കണ്ണടച്ചാൽ മാത്രം കാണുന്നത്,ഇരുട്ട്,Logic,Malayalam
പൂക്കില്ല കായ്ക്കില്ല പക്ഷേ ഇലയുണ്ട്,പുസ്തകം,Logic,Malayalam
എല്ലാവർക്കും ഉണ്ട് പക്ഷേ ആരും കാണുന്നില്ല,മനസ്സ്,Logic,Malayalam
വെളിച്ചം വന്നാൽ ഇല്ലാതാകുന്നവൻ,ഇരുട്ട്,Logic,Malayalam
അകത്തേക്ക് പോകുമ്പോൾ തലയുണ്ട് പുറത്തേക്ക് വരുമ്പോൾ തലയില്ല,ഷർട്ട് ബട്ടൺ,Logic,Malayalam
കയറാൻ പറ്റും പക്ഷേ ഇറങ്ങാൻ പറ്റില്ല,പ്രായം,Logic,Malayalam
ഒരു കുപ്പിയിൽ രണ്ട് നിറത്തിലുള്ള വെള്ളം,മുട്ട,Logic,Malayalam
തറയിലിട്ടാൽ പൊട്ടില്ല വെള്ളത്തിലിട്ടാൽ പൊട്ടും,പേപ്പർ,Logic,Malayalam
വെള്ളത്തിൽ ജനിക്കും വെള്ളത്തിൽ മരിക്കും,ഉപ്പ്,Logic,Malayalam
കടലിൽ ജനിക്കും വീട്ടിൽ മരിക്കും,ഉപ്പ്,Logic,Malayalam
കൈയുണ്ട് കൈപ്പത്തിയില്ല കഴുത്തുണ്ട് തലയില്ല,ഷർട്ട്,Logic,Malayalam
എത്ര തിന്നാലും വിശപ്പ് മാറാത്തവൻ,തീ,Logic,Malayalam
കീശയിലുണ്ടെങ്കിലും കീശ കാലിയായിരിക്കും,കീശയിലെ തുള,Logic,Malayalam
തൊട്ടാൽ പൊള്ളുന്ന തോലില്ലാപ്പഴം,തീക്കട്ട,Logic,Malayalam
കറുത്ത പറമ്പിൽ വെളുത്ത വിത്തുകൾ,പുസ്തകം,Logic,Malayalam
മഴ വരുമ്പോൾ ഉയരും വെയിൽ വരുമ്പോൾ താഴം,കുട,Logic,Malayalam
എപ്പോഴും എണ്ണിക്കൊണ്ടിരിക്കും പക്ഷേ ഒന്നും കിട്ടില്ല,ക്ലോക്ക്,Logic,Malayalam
"അകത്ത് വെള്ളം പുറത്ത് പാറ, ശിവനല്ലെങ്കിലും മൂന്നു കണ്ണ്",തേങ്ങ,Cultural,Malayalam
വെയിലത്ത് വിരിയും മഴയത്ത് വിരിയും വീട്ടിലെത്തിയാൽ മടങ്ങും,കുട,Cultural,Malayalam
തലയിൽ കിരീടം ഉടലിൽ കണ്ണുകൾ,കൈതച്ചക്ക,Cultural,Malayalam
അമ്മ കുഴിയിൽ മകൾ കയറിൽ,കിണറും പാളയും,Cultural,Malayalam
"ഒരു കണ്ണ് മാത്രമുള്ള കുള്ളൻ, വാലിൽ പിടിച്ചാൽ ഓടും",സൂചി,Cultural,Malayalam
"പെട്ടിയിൽ കിടക്കും പാവങ്ങൾ, തലയുരച്ചാൽ കത്തും",തീപ്പെട്ടി,Cultural,Malayalam
വെള്ളപ്പാടത്ത് കറുത്ത വിത്ത്,അക്ഷരങ്ങൾ,Cultural,Malayalam
നീ ചിരിച്ചാൽ ചിരിക്കും നീ കരഞ്ഞാൽ കരയും,കണ്ണാടി,Cultural,Malayalam
ഉണ്ണുനീലി പെണ്ണിന് ഒരിക്കലേ പേറുള്ളൂ,വാഴ,Cultural,Malayalam
എപ്പോഴും നനഞ്ഞിരിക്കും പക്ഷെ ഒരിക്കലും കുളിക്കില്ല,നാവ്,Cultural,Malayalam
ഉറങ്ങാൻ പോകുമ്പോൾ അടയ്ക്കും ഉണരുമ്പോൾ തുറക്കും,കണ്ണുകൾ,Cultural,Malayalam
ആയിരം പേർക്ക് ഒരരഞ്ഞാൺ,ചൂല്,Cultural,Malayalam
അമ്മയെ തൊട്ടാൽ മകൾ കരയും,മണി,Cultural,Malayalam
കാലില്ലാതെ ഓടും കൈയില്ലാതെ അടിക്കും,കാറ്റ്,Cultural,Malayalam
വെള്ളത്തിൽ ജനിക്കും വെള്ളത്തിൽ മരിക്കും,ഉപ്പ്,Cultural,Malayalam
മുറ്റത്തെ ചെപ്പിന് അടപ്പില്ല,കിണർ,Cultural,Malayalam
തള്ള തറയിൽ പിള്ള ആകാശത്ത്,കുമ്പളങ്ങ,Cultural,Malayalam
കറുത്ത പശുവിന് വെളുത്ത പാൽ,റബ്ബർ മരം,Cultural,Malayalam
വെള്ളം കുടിക്കും തോറും തടിക്കും,പഞ്ഞി,Cultural,Malayalam
ചെമ്പരത്തി പൂവ് പോലെ വിരിയും പക്ഷെ മണമില്ല,തീ,Cultural,Malayalam
വായുമുണ്ട് വയറുമുണ്ട് പക്ഷെ ഭക്ഷിക്കില്ല,മൺകുടം,Cultural,Malayalam
പച്ചക്കുപ്പായമിട്ട ചുവന്ന സുന്ദരി,മുളക്,Cultural,Malayalam
കണ്ണുണ്ട് കാണില്ല കാലുണ്ട് നടക്കില്ല,കസേര,Cultural,Malayalam
വെള്ളത്തിൽ വിരിയും വെയിലത്ത് വാടും,ഉപ്പ്,Cultural,Malayalam
വെള്ളാനയ്ക്ക് കറുത്ത വാല്,കരണ്ടി,Cultural,Malayalam
ചുവന്ന മുറിയിൽ കറുത്ത താമസക്കാർ,തണ്ണിമത്തൻ,Cultural,Malayalam
പച്ചക്കോട്ടയ്ക്കുള്ളിൽ മുത്തുമാലകൾ,വെണ്ടയ്ക്ക,Cultural,Malayalam
ആനയെ തളയ്ക്കാം പക്ഷേ കടുകിനെ പൊതിയാൻ പറ്റില്ല,പുളിയില,Cultural,Malayalam
അമ്മ കരിമ്പാറ മകൾ കൽക്കണ്ടം,ഉഴുന്ന്,Cultural,Malayalam
പതിനെട്ട് പട്ടണത്തിന് ഒരു കോട്ട,ചക്ക,Cultural,Malayalam
വെള്ളിക്കിണ്ണത്തിൽ നിന്ന് പൂ പൊഴിക്കും സുന്ദരി,തേങ്ങ ചിരകുന്നത്,Cultural,Malayalam
