Question,Answer,Category
"ആരും ഇഷ്ടപ്പെടാത്ത ഇഷ്ടം ഏതാണ്?",നഷ്ടം,Wordplay
"ആരും തിന്നാത്ത അപ്പം ഏതാണ്?",മുത്തപ്പൻ,Wordplay
"ആരും വയ്ക്കാത്ത കറി ഏതാണ്?",ഉപ്പുകറി,Wordplay
"ആരും പോകാത്ത വഴി ഏതാണ്?",പടവഴി,Wordplay
"ആരും കേറാത്ത മരം ഏതാണ്?",തൂക്കുമരം,Wordplay
"ആരും ചെല്ലാത്ത കാട് ഏതാണ്?",താടിക്കോട്,Wordplay
"ആരും കുടിക്കാത്ത കഞ്ഞി ഏതാണ്?",മുണ്ടുകഞ്ഞി,Wordplay
"ആരും കാണാത്ത കാഴ്ച ഏതാണ്?",പഴങ്കാഴ്ച,Wordplay
"ആരും കൊതിക്കാത്ത ഭാഗ്യം ഏതാണ്?",നിർഭാഗ്യം,Wordplay
"ആരും വേണ്ടാത്ത മാനം ഏതാണ്?",അപമാനം,Wordplay
"ആരും തിരുത്താത്ത അക്ഷരം ഏതാണ്?",തലയക്ഷരം,Wordplay
"ആരും വിളിക്കാത്ത വിളി ഏതാണ്?",കൂക്കിവിളി,Wordplay
"ആരും തൊടാത്ത തൊടി ഏതാണ്?",പുറന്തൊടി,Wordplay
"ആരും കഴിക്കാത്ത പഴം ഏതാണ്?",തല്ലുപ്പഴം,Wordplay
"കാലില്ലാത്ത കാലം ഏതാണ്?",വർഷക്കാലം,Wordplay
"മരമില്ലാത്ത കാട് ഏതാണ്?",താടിക്കോട്,Wordplay
"തലയില്ലാത്ത തല ഏതാണ്?",കപ്പലണ്ടിത്തല,Wordplay
"വായയില്ലാത്ത വായ ഏതാണ്?",പുഴവായ,Wordplay
"പല്ലില്ലാത്ത പല്ലി ഏതാണ്?",ചുവർപല്ലി,Wordplay
"കണ്ണില്ലാത്ത കണ്ണൻ ഏതാണ്?",വണ്ണാൻ,Wordplay
"ചിറകില്ലാത്ത പക്ഷി ഏതാണ്?",കപ്പൽപക്ഷി,Wordplay
"കല്ലില്ലാത്ത കല്ല് ഏതാണ്?",നെല്ലിക്കല്ല്,Wordplay
"വെള്ളമില്ലാത്ത പുഴ ഏതാണ്?",മണൽപുഴ,Wordplay
"ചക്രമില്ലാത്ത വണ്ടി ഏതാണ്?",പല്ലക്കുവണ്ടി,Wordplay
"മഴ പെയ്യാത്ത മേഘം ഏതാണ്?",പുകമേഘം,Wordplay
"കടിക്കാത്ത പട്ടി ഏതാണ്?",തിരുമ്മുപട്ടി,Wordplay
"അക്ഷരമില്ലാത്ത പുസ്തകം ഏതാണ്?",ചിത്രപുസ്തകം,Wordplay
"വാഴയില്ലാത്ത വാഴപ്പഴം ഏതാണ്?",കായപ്പഴം,Wordplay
"തീയില്ലാത്ത പുക ഏതാണ്?",ആവിപ്പുക,Wordplay
"വെള്ളത്തിലിട്ടാൽ നനയാത്ത കട്ട ഏതാണ്?",വെള്ളിക്കട്ട,Wordplay
"ആരും കുളിക്കാത്ത കുളം ഏതാണ്?",കണ്ണീർകുളം,Wordplay
"കൈയില്ലാത്ത കൈ ഏതാണ്?",പലകൈ,Wordplay
"കാറ്റില്ലാത്ത കാറ്റ് ഏതാണ്?",കരിങ്കാറ്റ്,Wordplay
"ആരും ചെല്ലാത്ത പുര ഏതാണ്?",ഗോപുരം,Wordplay
"ആരും കെട്ടാത്ത താലി ഏതാണ്?",പനന്താലി,Wordplay
"ആരും ഉടുക്കാത്ത മുണ്ട് ഏതാണ്?",മറുമുണ്ട്,Wordplay
"ആരും മിണ്ടാത്ത വാക്ക് ഏതാണ്?",അപവാദം,Wordplay
"ആരും ചൊല്ലാത്ത പാട്ട് ഏതാണ്?",ആട്ടുപാട്ട്,Wordplay
"ആരും വിതയ്ക്കാത്ത വിത്ത് ഏതാണ്?",മഞ്ഞവിത്ത്,Wordplay
"ആരും നടാത്ത വള്ളി ഏതാണ്?",തിരമാല,Wordplay
"ആരും പൂട്ടാത്ത പൂട്ട് ഏതാണ്?",വെട്ടിക്കെട്ട്,Wordplay
"ആരും തുന്നാത്ത തുണി ഏതാണ്?",ചേമ്പില,Wordplay
"ആരും ഉണ്ണാത്ത സദ്യ ഏതാണ്?",പട്ടണിസദ്യ,Wordplay
"ആരും കാണാത്ത വെളിച്ചം ഏതാണ്?",അകത്തെ വെളിച്ചം,Wordplay
"ആരും തുടയ്ക്കാത്ത കണ്ണ് ഏതാണ്?",ചക്കക്കണ്ണ്,Wordplay
"ആരും ഇരിക്കാത്ത കസേര ഏതാണ്?",മരണകസേര,Wordplay
"ആരും കൊയ്യാത്ത നെല്ല് ഏതാണ്?",കരിനെല്ല്,Wordplay
"ആരും പിടിക്കാത്ത മീൻ ഏതാണ്?",കണ്ണിമീൻ,Wordplay
"ആരും വയ്ക്കാത്ത പൂവ് ഏതാണ്?",മഞ്ഞുപൂവ്,Wordplay
"ആരും ഓടിക്കാത്ത പട ഏതാണ്?",പിൻപട,Wordplay
"ആരും കെട്ടാത്ത മാല ഏതാണ്?",തിരമാല,Wordplay
"ആരും കുഴിക്കാത്ത കുഴി ഏതാണ്?",കണ്ണുകുഴി,Wordplay
"ആരും ചൊല്ലാത്ത മന്ത്രം ഏതാണ്?",അട്ടഹാസം,Wordplay
"ആരും തിന്നാത്ത കായ ഏതാണ്?",കൈക്കാശ്,Wordplay
"ആരും കാണാത്ത കപ്പൽ ഏതാണ്?",സങ്കല്പം,Wordplay
"ആരും എടുക്കാത്ത വടി ഏതാണ്?",ഊന്നുവടി,Wordplay
"ആരും പേടിക്കാത്ത കടുവ ഏതാണ്?",വരയൻ കടുവ,Wordplay
"ആരും കേൾക്കാത്ത ശബ്ദം ഏതാണ്?",മനസ്സിന്റെ ശബ്ദം,Wordplay
"ആരും തൂക്കാത്ത തൂക്കം ഏതാണ്?",അമിട്ടുതൂക്കം,Wordplay
"ആരും വയ്ക്കേണ്ട എന്ന് പറയുന്ന വെയ്പ്പ് ഏതാണ്?",തട്ടിവെയ്പ്പ്,Wordplay
"ആരും കെട്ടാത്ത കെട്ട് ഏതാണ്?",പുകക്കെട്ട്,Wordplay
"ആരും കുടിക്കാത്ത വെള്ളം ഏതാണ്?",കണ്ണുനീർ,Wordplay
"ആരും അളക്കാത്ത അളവ് ഏതാണ്?",മതിപ്പളവ്,Wordplay
"ആരും വിളിക്കാത്ത വിളി ഏതാണ്?",തലവിളി,Wordplay
"ആരും തടയാത്ത ഓട്ടം ഏതാണ്?",മരണപ്പാച്ചിൽ,Wordplay
"ആരും എടുക്കാത്ത പണം ഏതാണ്?",കള്ളപ്പണം,Wordplay
"ആരും കാണാത്ത കല്ല് ഏതാണ്?",തറക്കല്ല്,Wordplay
"ആരും ഇഷ്ടപ്പെടാത്ത തല്ല് ഏതാണ്?",പഴിത്തല്ല്,Wordplay
"ആരും വയ്ക്കാത്ത പൊട്ട് ഏതാണ്?",കുരുപ്പൊട്ട്,Wordplay
"ആരും പോകാത്ത ലോകം ഏതാണ്?",പരലോകം,Wordplay
"ഇഷ്ടമില്ലാത്ത ഇഷ്ടം ഏതാണ്?",നഷ്ടം,Wordplay
"ചിറകില്ലാത്ത പക്ഷി ഏതാണ്?",കപ്പൽപക്ഷി,Wordplay
"കണ്ണില്ലാത്ത കണ്ണൻ ആരാണ്?",വണ്ണാൻ,Wordplay
"ഏതു പൂവാണ് ആരും തലയിൽ വയ്ക്കാത്തത്?",മഞ്ഞുപൂവ്,Wordplay
"വായയില്ലാത്ത വായ ഏതാണ്?",പുഴവായ,Wordplay
"പല്ലില്ലാത്ത പല്ലി ഏതാണ്?",ചുവർപല്ലി,Wordplay
"കടിക്കാത്ത പട്ടി ഏതാണ്?",തിരുമ്മുപട്ടി,Wordplay
"തലയില്ലാത്ത തല ഏതാണ്?",കപ്പലണ്ടിത്തല,Wordplay
"അക്ഷരമില്ലാത്ത പുസ്തകം ഏതാണ്?",ചിത്രപുസ്തകം,Wordplay
"വാഴയില്ലാത്ത പഴം ഏതാണ്?",കായപ്പഴം,Wordplay
"പുകയില്ലാത്ത തീ ഏതാണ്?",മനസ്താപം,Wordplay
"കാലില്ലാത്ത കാലം ഏതാണ്?",മഴക്കാലം,Wordplay
"കൈയില്ലാത്ത കൈ ഏതാണ്?",പലകൈ,Wordplay
"കല്ലില്ലാത്ത കല്ല് ഏതാണ്?",നെല്ലിക്കല്ല്,Wordplay
"കരിയല്ലാത്ത കരി ഏതാണ്?",കൺകരി,Wordplay
"പൊട്ടില്ലാത്ത പൊട്ട് ഏതാണ്?",കുരുപ്പൊട്ട്,Wordplay
"ചക്രമില്ലാത്ത വണ്ടി ഏതാണ്?",പല്ലക്കുവണ്ടി,Wordplay
"മരമില്ലാത്ത കാട് ഏതാണ്?",താടിക്കോട്,Wordplay
