ID,Question,Actual,Baseline_Predicted,Baseline_Correct,Model
199,കൊമ്പില്ലാ കുംഭിയില്‍ കൊമ്പ്,Cultural,Cultural,1,gpt-4o-mini
608,காவலுக்கு ஆயிரம் வீரர்கள் உண்டு...,Logic,Cultural,0,gpt-4o-mini
174,ഒരമ്മ എന്നും വെന്തും നീറിയും,Cultural,Cultural,1,gpt-4o-mini
843,ஒரு எண் 100-க்கு அருகில் இருக்கும் பிரதம எண்?,Mathematical,Mathematical,1,gpt-4o-mini
66,വെളുത്ത സായ്പിനു കറുത്ത തൊപ്പി,Logic,Cultural,0,gpt-4o-mini
552,கோடையிலே ஆடி வரும் வாடையில முடங்கி விடும்.,Logic,Cultural,0,gpt-4o-mini
773,வீட்டில் ஒளி தரும் நண்பன்,Cultural,Cultural,1,gpt-4o-mini
614,என்னை கீழே போட்டால் உடைந்து விடுவேன்...,Logic,Cultural,0,gpt-4o-mini
998,"நான் ஒரு எழுத்து தான், ஆனா இசை மாதிரி இருக்கும்.",Wordplay,Wordplay,1,gpt-4o-mini
158,"ആളൊരു കുള്ളന്‍, നിലവിളിയൊരമ്പതു കാതും കേള്‍ക്കും",Cultural,Cultural,1,gpt-4o-mini
958,எப்போதும் பேசும் ஆனால் வாயில்லாதது.,Wordplay,Cultural,0,gpt-4o-mini
67,"കൈപ്പടം പോലെന്‍ ഇല, പെണ്ണുങ്ങളുടെ വിരല്‍ പോലെന്‍ കായ",Logic,Cultural,0,gpt-4o-mini
596,"நான் ஜோடியாக இருப்பேன், ஆனா ஒரே காலில் நிற்பேன்.",Logic,Cultural,0,gpt-4o-mini
231,മണ്ടിപ്പെണ്ണ് കയറില്‍ തൂങ്ങി കുണ്ടിലിറങ്ങി,Cultural,Cultural,1,gpt-4o-mini
597,முறையின்றி தொட்டால் உயிரை எடுப்பான்.,Logic,Cultural,0,gpt-4o-mini
