Question,Answer,Category
ആറ് ആടുകൾക്കും അഞ്ച് കോഴികൾക്കും കൂടി ആകെ എത്ര കാലുകളുണ്ട്?,"34 (ആടുകൾക്ക് 24, കോഴികൾക്ക് 10)",Mathematical
നൂറിന്റെ പകുതിയുടെ പകുതി എത്ര?,25,Mathematical
ഒരാൾക്ക് 40 വയസ്സുള്ളപ്പോൾ മകന് 10 വയസ്സ്. അച്ഛന്റെ പ്രായം മകന്റെ ഇരട്ടിയാകുന്നത് എത്ര വർഷം കഴിയുമ്പോഴാണ്?,20 വർഷം (അന്ന് അച്ഛന് 60-ഉം മകന് 30-ഉം വയസ്സ്),Mathematical
10 മീറ്റർ നീളമുള്ള ഒരു മരത്തടി ഒരു മീറ്റർ വീതമുള്ള കഷ്ണങ്ങളായി മുറിക്കാൻ എത്ര തവണ വെട്ടണം?,9 തവണ,Mathematical
1 മുതൽ 100 വരെയുള്ള സംഖ്യകൾ എഴുതുമ്പോൾ എത്ര തവണ '9' എന്ന അക്കം വരും?,20 തവണ,Mathematical
പകുതിയാക്കിയാൽ പൂജ്യം കിട്ടുന്ന സംഖ്യ ഏതാണ്?,8 (നടുവിലൂടെ മുറിച്ചാൽ രണ്ട് പൂജ്യം പോലെ തോന്നും),Mathematical
ഏത് സംഖ്യയെ അതേ സംഖ്യ കൊണ്ട് തന്നെ ഗുണിച്ചാലും കൂട്ടിയാലും ഒരേ ഉത്തരം ലഭിക്കും?,"2 (2+2=4, 2x2=4)",Mathematical
മൂന്ന് അക്കങ്ങളുള്ള ഏറ്റവും ചെറിയ സംഖ്യയേത്?,100,Mathematical
19-നോട് എത്ര കൂട്ടിയാൽ 10 കിട്ടും?,-9,Mathematical
ഒരു ഡസൻ കൈതച്ചക്കയിൽ എത്ര എണ്ണമുണ്ടാകും?,12,Mathematical
രണ്ട് പൂജ്യം ചേർത്താൽ എട്ട് കിട്ടുന്ന സംഖ്യയേത്?,800 (അല്ലെങ്കിൽ 44 - ചിഹ്നപരമായ ചോദ്യം),Mathematical
