ID,Question,Actual,Predicted,Method,Latency,Correct
0,ഏത് സംഖ്യയെ അതേ സംഖ്യ കൊണ്ട് തന്നെ ഗുണിച്ചാലും കൂട്ടിയാലും ഒരേ ഉത്തരം ലഭിക്കും?,Mathematical,Mathematical,Layer 2 (Weighted Semantic Vote),0.1609,1
1,വാല് കണ്ടത്തിൽ കഴുത്ത് വരമ്പത്ത് വായിൽ തീ,Cultural,Cultural,Layer 2 (Weighted Semantic Vote),0.0946,1
2,വായുണ്ട് പക്ഷേ സംസാരിക്കില്ല,Logic,Logic,Layer 2 (Weighted Semantic Vote),0.0816,1
3,അഞ്ചിൽ എത്ര ഒന്നുകളുണ്ട്?,Mathematical,Mathematical,Layer 2 (Confident Match),0.0512,1
4,ഒരു കുപ്പിയിൽ രണ്ട് നിറത്തിലുള്ള വെള്ളം,Logic,Logic,Layer 2 (Weighted Semantic Vote),0.0932,1
5,திருமணத்தில் அணியும் மாலை என்ன?,Cultural,Cultural,Layer 2 (Weighted Semantic Vote),0.0987,1
6,ആരും ഓടിക്കാത്ത പട ഏതാണ്?,Wordplay,Wordplay,Layer 1 (Weighted Keywords),0.0,1
7,പകുതി ഭാഗവും അര ഭാഗവും ഒന്നാണോ?,Mathematical,Mathematical,Layer 2 (Weighted Semantic Vote),0.1047,1
8,கோயிலில் தரப்படும் நீர் என்ன?,Cultural,Cultural,Layer 2 (Weighted Semantic Vote),0.091,1
9,തൂങ്ങിക്കിടക്കും പക്ഷേ വീഴില്ല,Logic,Logic,Layer 2 (Confident Match),0.047,1
10,கோயிலில் காணப்படும் மணி என்ன?,Cultural,Cultural,Layer 2 (Weighted Semantic Vote),0.0966,1
11,"வட்டமாக இருக்கும், உள்ளே ஓடும் ஆனால் வெளியே வராது — நான் என்ன?",Logic,Logic,Layer 2 (Weighted Semantic Vote),0.099,1
12,അഞ്ചും അഞ്ചും ചേർന്നാൽ പത്ത്. അഞ്ചും അഞ്ചും ഗുണിച്ചാൽ ഇരുപത്തിയഞ്ച്. അഞ്ചും പൂജ്യവും ഗുണിച്ചാൽ എത്ര?,Mathematical,Mathematical,Layer 2 (Confident Match),0.06,1
13,ആരും എടുക്കാത്ത പണം ഏതാണ്?,Wordplay,Wordplay,Layer 1 (Weighted Keywords),0.0,1
14,തള്ള വിറയ്ക്കും പിള്ള കറങ്ങും,Cultural,Cultural,Layer 2 (Weighted Semantic Vote),0.1053,1
15,"மெல்ல மெல்ல விழும், கல்ல கல்ல ஆகும், நான் யார்?",Wordplay,Wordplay,Layer 2 (Confident Match),0.0531,1
16,ആരും വയ്ക്കേണ്ട എന്ന് പറയുന്ന വെയ്പ്പ് ഏതാണ്?,Wordplay,Wordplay,Layer 1 (Weighted Keywords),0.0,1
17,கோயிலில் தரப்படும் பூ என்ன?,Cultural,Cultural,Layer 2 (Confident Match),0.0519,1
18,"பிறக்கும்போது சத்தம் போடும், வளரும்போது மௌனமாகும் — நான் என்ன?",Logic,Wordplay,Layer 2 (Weighted Semantic Vote),0.1058,0
19,കണ്ണില്ലാത്ത കണ്ണൻ ഏതാണ്?,Wordplay,Wordplay,Layer 1 (Weighted Keywords),0.0,1
20,"உங்களுடன் பிறந்தது, உங்களுடன் வளர்ந்தது, ஆனால் நீங்கள் அதை பார்க்க முடியாது — நான் என்ன?",Logic,Logic,Layer 2 (Weighted Semantic Vote),0.1049,1
21,"மூடி மூடி வைத்தாலும், ஊடி ஊடி வருவேன், நான் யார்?",Wordplay,Wordplay,Layer 2 (Confident Match),0.0541,1
22,10 பேர் 10 நிமிடத்தில் 10 வேலை செய்தால் 1 பேர் 1 வேலை செய்ய எத்தனை நிமிடம்?,Mathematical,Mathematical,Layer 1 (Weighted Keywords),0.0,1
23,"அனைவரும் என்னை இழக்கிறார்கள், ஆனால் யாரும் என்னை கண்டுபிடிக்க முயலுவதில்லை — நான் என்ன?",Logic,Logic,Layer 2 (Weighted Semantic Vote),0.1144,1
24,"தினமும் பிறக்கிறேன், தினமும் இறக்கிறேன், ஆனாலும் என்றும் உள்ளேன் — நான் என்ன?",Logic,Wordplay,Layer 2 (Weighted Semantic Vote),0.1066,0
25,ഒരമ്മയ്ക്ക് ആയിരം ഓമനകൾ,Cultural,Cultural,Layer 2 (Weighted Semantic Vote),0.0934,1
26,அம்மன் கோவில் என்ன தரும்?,Cultural,Cultural,Layer 2 (Weighted Semantic Vote),0.0926,1
