Question,Answer,Category
மூன்றின் மூன்று மடங்கு என்ன?,9,mathematical
பத்தில் இருந்து நான்கை கழித்தால் என்ன கிடைக்கும்?,6,mathematical
ஆறு பெருக்கல் ஏழு என்னவாகும்?,42,mathematical
நூறை இருபதால் வகுத்தால் என்ன?,5,mathematical
இரண்டு டஜன் என்பது எத்தனை?,24,mathematical
முப்பதை மூன்றால் வகுத்தால் கிடைப்பது என்ன?,10,mathematical
ஐந்து பெருக்கல் ஐந்து பெருக்கல் ஐந்து என்னவாகும்?,125,mathematical
ஒன்பதின் இரட்டிப்பு என்ன?,18,mathematical
நூற்றி இருபதை நான்கால் வகுத்தால்?,30,mathematical
பதினேழோடு பதினேழு கூட்டினால் என்ன?,34,mathematical
7 ஒன்றுகளை கொண்டு 25-ஐ பெறுவது எப்படி?,11+11+1+1+1,mathematical
எட்டு எட்டுகளை கொண்டு 1000-தை பெறுவது எப்படி?,888+88+8+8+8,mathematical
மூன்று மூன்றுகளை கொண்டு 27-ஐ பெறுவது எப்படி?,3×3×3,mathematical
ஐந்து 9களை பயன்படுத்தி 10 பெறுவது எப்படி?,9+(99/99),mathematical
இரண்டு இலக்கங்களை பயன்படுத்தி 3-ஐ உருவாக்குங்கள்.,1+2 அல்லது 3×1,mathematical
நான்கு 4களை பயன்படுத்தி 0-ஐ உருவாக்குங்கள்.,44-44 அல்லது 4÷4-4÷4,mathematical
இரண்டு 2களை மட்டும் பயன்படுத்தி 4-ஐ உருவாக்குங்கள்.,2+2 அல்லது 2×2,mathematical
மூன்று ஒன்றுகளை கொண்டு 6 பெறுவது எப்படி?,(1+1+1)! = 6,mathematical
நான்கு நான்குகளை கொண்டு 16 பெறுவது எப்படி?,4×4×(4÷4),mathematical
ஆறு ஆறுகளை கொண்டு 7 உருவாக்குங்கள்.,6÷6+6÷6+6÷6,mathematical
ஒரு வாரத்தில் எத்தனை நாட்கள்?,7,mathematical
ஒரு நிமிடத்தில் எத்தனை வினாடிகள்?,60,mathematical
ஒரு நாளில் எத்தனை மணி நேரம்?,24,mathematical
ஒரு வருடத்தில் எத்தனை வாரங்கள்?,52,mathematical
பிப்ரவரி மாதத்தில் உள்ள நாட்கள் என்ன?,28 அல்லது 29 (லீப் ஆண்டு),mathematical
அரை மணி நேரம் என்பது எத்தனை வினாடிகள்?,1800,mathematical
ஒரு மாதத்தில் அதிகபட்சம் எத்தனை நாட்கள் இருக்கும்?,31,mathematical
ஒரு நூற்றாண்டில் எத்தனை ஆண்டுகள்?,100,mathematical
கால் மணி நேரம் என்பது எத்தனை நிமிடங்கள்?,15,mathematical
ஒரு வாரத்தில் எத்தனை மணி நேரங்கள்?,168,mathematical
முக்கோணத்தின் கோணங்கள் மொத்தம் எத்தனை டிகிரி?,180°,mathematical
சதுரத்திற்கு எத்தனை பக்கங்கள் உண்டு?,4,mathematical
வட்டத்தின் கோணங்கள் மொத்தம் எத்தனை டிகிரி?,360°,mathematical
ஒரு சதுரத்தின் பரப்பளவு கணக்கிட என்ன சூத்திரம்?,பக்கம் × பக்கம் (a²),mathematical
ஐந்து பக்கங்கள் கொண்ட வடிவம் என்ன?,ஐங்கோணம் (Pentagon),mathematical
ஒரு கனசதுரத்திற்கு எத்தனை முகங்கள் உண்டு?,6,mathematical
வட்டத்தின் விட்டம் 10 செமீ என்றால் ஆரம் என்ன?,5 செமீ,mathematical
நேர்கோணம் என்பது எத்தனை டிகிரி?,90°,mathematical
ஒரு செவ்வகத்தின் சுற்றளவு கணக்கிட என்ன சூத்திரம்?,2×(நீளம் + அகலம்),mathematical
ஆறு பக்கங்கள் கொண்ட வடிவம் எப்படி அழைக்கப்படும்?,அறுகோணம் (Hexagon),mathematical
நூற்றின் ஐந்து சதவீதம் என்ன?,5,mathematical
அரை என்பது எந்த பின்னத்திற்கு சமம்?,1/2,mathematical
200-ல் 25 சதவீதம் என்னவாகும்?,50,mathematical
முக்கால் என்பது எந்த தசம எண்ணுக்கு சமம்?,0.75,mathematical
50-ல் 10 சதவீதம் என்னவாகும்?,5,mathematical
கால் என்பது எந்த பின்னத்திற்கு சமம்?,1/4,mathematical
80-ல் 20 சதவீதம் என்ன?,16,mathematical
1/3 + 1/3 என்னவாகும்?,2/3,mathematical
ஒரு கிலோவில் 250 கிராம் என்பது எத்தனை சதவீதம்?,25%,mathematical
1000-ல் 5 சதவீதம் கழித்தால் மிச்சம் என்ன?,950,mathematical
பதினாறின் வர்க்கமூலம் என்ன?,4,mathematical
27-இன் கன வர்க்க மூலம் என்ன?,3,mathematical
12-இன் வர்க்கம் என்ன?,144,mathematical
5-இன் கன வர்க்கம் என்ன?,125,mathematical
√81 என்னவாகும்?,9,mathematical
2-இன் பத்தாவது வர்க்கம் என்ன?,1024,mathematical
100-இன் வர்க்கமூலம் என்ன?,10,mathematical
8-இன் கன வர்க்கம் என்ன?,512,mathematical
√144 என்னவாகும்?,12,mathematical
13-இன் வர்க்கம் எத்தனை?,169,mathematical
ஒரு வண்டியில் 4 சக்கரங்கள். 6 வண்டிகளில் மொத்தம் எத்தனை சக்கரங்கள்?,24,mathematical
ஒரு வகுப்பில் 30 மாணவர்கள். பாதி பேர் சென்றால் மிச்சம் எத்தனை?,15,mathematical
5 ரூபாய்க்கு 3 வாழைப்பழம் என்றால் 15 ரூபாய்க்கு எத்தனை கிடைக்கும்?,9,mathematical
ஒரு நாளில் ராமு 8 மணி நேரம் தூங்குகிறார். ஒரு வாரத்தில் எத்தனை மணி நேரம் தூங்குவார்?,56,mathematical
12 முட்டைகளில் 3 உடைந்தன. மீதம் எத்தனை முட்டைகள்?,9,mathematical
ஒரு நூலகத்தில் 500 புத்தகங்கள். 125 புத்தகங்கள் கடனாக சென்றன. மிச்சம் எத்தனை?,375,mathematical
ஒரு கடையில் 10 சட்டைகள் ஒவ்வொன்றும் 250 ரூபாய். மொத்த விலை என்ன?,2500 ரூபாய்,mathematical
கவிதா 100 மீ ஓட 20 வினாடி எடுக்கிறாள். 500 மீ ஓட எத்தனை வினாடி?,100 வினாடிகள்,mathematical
ஒரு தோட்டத்தில் 7 வரிசை மரங்கள். ஒவ்வொரு வரிசையிலும் 8 மரங்கள். மொத்தம் எத்தனை?,56,mathematical
ஒரு பையில் 100 பழங்கள். 4 குழந்தைகளுக்கு சமமாக பகிர்ந்தால் ஒவ்வொருவருக்கும் எத்தனை?,25,mathematical
"2, 4, 6, 8, ___ அடுத்தது என்ன?",10,mathematical
"1, 1, 2, 3, 5, 8, ___ அடுத்தது என்ன?",13 (Fibonacci),mathematical
"3, 9, 27, 81, ___ அடுத்தது என்ன?",243,mathematical
"100, 90, 80, 70, ___ அடுத்தது என்ன?",60,mathematical
"1, 4, 9, 16, 25, ___ அடுத்தது என்ன?",36 (வர்க்க எண்கள்),mathematical
"2, 6, 12, 20, 30, ___ அடுத்தது என்ன?",42,mathematical
"5, 10, 20, 40, ___ அடுத்தது என்ன?",80,mathematical
"1, 8, 27, 64, ___ அடுத்தது என்ன?",125 (கன வர்க்கங்கள்),mathematical
"0, 3, 8, 15, 24, ___ அடுத்தது என்ன?",35 (n²-1 தொடர்),mathematical
"1, 2, 4, 7, 11, 16, ___ அடுத்தது என்ன?",22,mathematical
காலையில் உணவுக்கு சாப்பிட முடியாத 2 உணவுகள் யாவை?,"மதிய உணவு, இரவு உணவு",mathematical
ஒரு கோழி ஒரு நாளில் ஒரு முட்டை இட்டால் ஒரு வாரத்தில் எத்தனை முட்டை?,7,mathematical
10 பேர் 10 நிமிடத்தில் 10 வேலை செய்தால் 1 பேர் 1 வேலை செய்ய எத்தனை நிமிடம்?,10 நிமிடம்,mathematical
ஒரு கடல்கப்பல் ஏணி கீழிருந்து 6 படிகள் நீரில் உள்ளது. நீர் 3 படி உயர்ந்தால் எத்தனை படிகள் மூழ்கும்?,6 (கப்பல் மிதக்கும்),mathematical
நீங்கள் மூன்றாவது இடத்தில் ஓடுகிறீர்கள். இரண்டாவது இடத்தில் உள்ளவரை முந்தினால் என்ன இடம்?,இரண்டாவது இடம்,mathematical
ஒரு வீட்டில் 4 மூலைகள் உள்ளன. ஒவ்வொரு மூலையிலும் ஒரு பூனை. ஒவ்வொரு பூனையும் 3 பூனைகளை பார்க்கும். மொத்தம் எத்தனை பூனைகள்?,4,mathematical
இரண்டு தந்தைகளும் இரண்டு மகன்களும் சேர்ந்து மீன் பிடித்தார்கள். ஒவ்வொருவரும் ஒரு மீன் பிடித்தார்கள். மொத்தம் 3 மீன். எப்படி?,"தாத்தா, அப்பா, பேரன் — 3 பேர்தான்",mathematical
ஒரு பாட்டில் நிறை பாதியாக குறைய 1 மணி நேரம் ஆகிறது. முழு பாட்டிலும் காலியாக எத்தனை மணி நேரம்?,நேரடியாக 2 மணி என்று சொல்ல முடியாது — காலியாகும் விகிதம் தெரியவில்லை,mathematical
ஒரு கோழிப் பண்ணையில் 17 கோழிகள். 8-ஐ தவிர அனைத்தும் இறந்தன. எத்தனை கோழிகள் மிச்சம்?,8,mathematical
நீங்கள் ஒரு போட்டியில் கடைசி இடத்தில் உள்ளவரை முந்தினால் என்ன இடம் கிடைக்கும்?,கடைசிக்கு முந்தைய இடம்,mathematical
ஒரு கிலோமீட்டரில் எத்தனை மீட்டர்?,1000,mathematical
